tweet_id,content,sentimento_geral,sarcasmo,sentimento_palavra,comentario,dificuldade,avaliador,dia_hora,certeza,emocao
A58,- Aumenta impostos nos livros.\n- Zera os impostos nas armas.\n- Não investe em um plano nacional de vacinação.\n- Faz piada homofóbica sobre a pandemia que já matou mais de 170 mil brasileiros.\n\nEsse é Bolsonaro e seu governo de morte. #ForaBolsonaro,Negativo,Sem sarcasmo/Ironia,"Faz comentários de crítica, usa expressões de impacto (""governo de morte"")",,2 - Fácil,luizh.batista@usp.br,2023-11-02 23:57,4,irritação
A1536,Em defesa da vacina e da vacinação obrigatória contra a COVID-19 https://t.co/qOhkXrYM9a via @PSTU,Neutro,Sem sarcasmo/Ironia,Posição incisiva,"Tive a impressão de que o sentimento é negativo, mas não sei ao certo. Tive essa impressão porque o ]texto adota uma posição incisiva",3 - Difícil,luizh.batista@usp.br,2023-11-03 00:21,,
A6053,"Mais uma ação importante do nosso mandato. Conseguimos aprovar requerimento para que o ministro Wagner Rosário, da Controladoria Geral da União dê explicações à Câmara sobre investigações do contrato com a Covaxin. Por que fizemos esse pedido? Segue a linha.",Positivo,Sem sarcasmo/Ironia,Estado implícito de alegria/felicidade,Demonstra felicidade com a conquista,2 - Fácil,luizh.batista@usp.br,2023-11-03 00:24,3,satisfação
A557,"A Câmara dos Deputados aprova agora MP que libera quase 2 bilhões de reais para viabilizar a produção de vacinas contra COVID-19. Ao contrário do que quer Bolsonaro,a prioridade do Brasil tem que ser salvar vidas! Seguiremos na batalha tbm pela prorrogação do auxílio emergencial.",Positivo,Sem sarcasmo/Ironia,Excitação,Sentimento de excitação com as medidas tomadas pelo speaker,3 - Difícil,luizh.batista@usp.br,2023-11-03 00:44,,
A3829,"Pessoal, foram disponibilizadas no site da @prefeiturapmf novas listas de agendamento para a vacinação contra a Covid-19. Elas se referem aos dias 22, 23 e 24 de junho. Confiram:\n\nhttps://t.co/Y9gfG2t5Qi",Neutro,Sem sarcasmo/Ironia,neutralidade,,2 - Fácil,luizh.batista@usp.br,2023-11-03 00:45,,
A5552,"Recife completa, nesta segunda-feira, 6 meses do início da vacinação contra a covid-19. São 181 dias sem parar de imunizar um único dia. E a gente vai pra frente. Ainda hoje, tem novidade a caminho.",Positivo,Sem sarcasmo/Ironia,"Excitação, entusiasmo",,2 - Fácil,luizh.batista@usp.br,2023-11-03 01:26,5,"excitação, entusiasmo"
A729,"Agora está em Brasília, para conversar com o secretário nacional de Vigilância em Saúde, Arnaldo Medeiros sobre uma campanha nacional de vacinação. Acreditamos que essa será a estratégia adotada, pois é a mais correta.",Positivo,Sem sarcasmo/Ironia,Esperança,Esperança de que uma medida proposta tem chances de ser implementada/aprovada,2 - Fácil,luizh.batista@usp.br,2023-11-03 01:28,4,expectativa
A5926,"Finalmente, depois de tanto tempo de espera, vacinado.\nGlória a Deus por ter abençoado a mente de tantos cientistas p/ conseguirem nos proporcionar esse momento de esperança.\nObg @helderbarbalho e @EdmilsonPSOL por apoiarem e incentivarem a vacinação.\nTOMEM A VACINA.\n#VivaOSuS https://t.co/ROPaXsU6tS",Positivo,Sem sarcasmo/Ironia,"Alegria, felicidade, esperança",,2 - Fácil,luizh.batista@usp.br,2023-11-03 01:43,4,felicidade
A3792,"Achar que o retorno presencial é somente questão de vacinação é reducionismo. Temos de verificar as condições sanitárias das escolas, do deslocamento dos alunos. Seria razoável voltar a atividades presenciais num prédio sem água só porque os docentes estão vacinados? [+]",Negativo,Sem sarcasmo/Ironia,"Preocupação, receio",,2 - Fácil,luizh.batista@usp.br,2023-11-03 01:50,2,preocupação
A2831,Assessor de Pazuello na Saúde diz que vírus no computador atrapalhou análise de proposta da Pfizer. O vírus: https://t.co/CzBxNPzCRL,Negativo,Sarcástico/Irônico,"Humor, crítica, questionamento","Muito difícil classificar o sentimento. O texto parece usar algum tipo de humor para fazer uma crítica. Questiona a explicação do assessor, o que demonstra um tom de crítica, mas também usa o humor aparentemente ",4 - Muito Difícil,luizh.batista@usp.br,2023-11-03 02:03,,
